Blog	four	looking	second	here	reported	k	music	until	example	want	feature	series	re	written	wasn	service	project	tech	saying	release	best	country	asked	much	life	things	had	possible	right	old	fox	continue	o	support	happy	offer	back	inside	time	leave	team	love	working	such	data	years	didn	internet	million	quite	open	city	future	san	turned	say	take	drive	ways	going	where	many	wants	photos	technology	being	around	world	power	industry	favorite	image	her	site	am	original	tv	th	large	small	past	hours	experience	social	via	company	science	states	its	always	found	really	major	number	guess	self	also	play	cover	set	see	movie	let	whole	community	recent	person	using	readers	couple	d	link	line	us	ago	land	age	came	having	results	young	send	try	video	great	makes	tools	next	process	high	doing	books	could	put	start	system	haven	face	fact	should	hope	means	stuff	email	ve	off	less	paul	web	five	become	does	problem	worth	told	work	interview	after	order	office	then	them	network	created	another	john	do	away	com	easy	voice	hand	photo	thanks	night	security	comments	marketing	post	months	way	true	reality	update	together	p	change	market	live	car	write	use	remember	still	non	january	space	shows	care	friend	than	online	america	only	between	article	comes	learning	language	these	media	thinking	real	read	early	business	lot	building	since	month	very	family	ask	help	soon	actually	event	american	pretty	during	x	close	won	probably	both	whatever	else	lives	look	while	smart	ready	used	game	computer	doesn	e	youtube	go	facebook	products	camera	started	meet	links	software	including	front	times	final	need	able	based	course	she	state	key	police	well	reasons	martin	page	twitter	home	monday	he	piece	star	amp	companies	across	even	ever	never	luther	call	tell	give	answer	president	before	personal	better	went	side	content	isn	user	features	matter	seen	don	m	stop	bad	said	against	appeared	three	website	make	left	human	yet	save	deal	popular	down	digital	weekend	daily	finally	me	did	run	making	may	man	maybe	talk	nbsp	group	interesting	living	thing	think	little	anyone	were	especially	shot	show	behind	get	morning	enough	reading	jr	according	mark	those	sound	different	pay	same	speech	money	images	users	videos	again	important	u	public	search	published	two	hour	share	needs	maps	coming	through	good	everyone	house	hard	idea	done	least	part	believe	b	built	build	most	please	mean	point	simple	create	meeting	understand	fun	itself	spent	spend	big	bit	google	often	forward	single	giving	others	private	something	ll	day	text	taking	almost	helped	center	thought	latest	add	happens	buy	brand	minutes	special	under	every	would	phone	must	keep	end	writing	each	got	free	wanted	days	already	top	too	took	talking	though	watch	amazon	despite	report	full	news	several	everything	donald	no	focus	cool	level	posts	says	goes	today	trump	information	happened	name	turn	place	white	any	ideas	sure	later	hear	review	come	case	myself	someone	events	week	without	blog	oh	racist	chinese	follow	program	woman	far	list	ten	design	version	rather	short	might	health	feel	story	store	king	kind	nothing	his	him	wrote	art	recently	attention	questions	customers	question	long	called	nice	once	find	apple	app	few	women	six	instead	light	looks	product	related	our	york	conversation	which	who	why	words	view	stories	job	last	gets	book	know	because	lead	getting	own	friends	apps	made	whether	other
The Official Google Blog	4	7	5	9	1	2	3	0	1	8	4	2	54	1	0	3	12	7	2	0	21	1	4	4	5	6	7	2	7	1	0	4	1	10	2	3	6	2	19	0	17	4	16	3	13	8	2	4	8	1	3	2	8	1	0	3	14	4	12	4	16	17	0	17	15	6	16	17	4	8	6	1	1	6	2	1	5	3	5	4	4	2	12	0	2	4	5	2	6	7	0	0	3	1	0	0	35	6	1	7	14	3	2	0	8	1	1	13	0	1	7	0	1	17	2	1	2	2	4	1	1	1	5	10	5	2	12	5	4	7	1	2	8	3	3	8	1	3	7	2	2	3	1	1	26	4	2	1	2	3	6	7	5	1	1	17	0	11	2	0	6	19	11	6	5	1	24	4	0	7	3	1	5	7	0	29	0	2	9	3	20	1	8	9	10	1	1	2	5	4	1	25	5	1	3	1	2	4	2	1	34	19	3	5	2	0	0	9	4	51	0	1	7	5	2	16	3	4	11	3	1	7	3	34	2	4	2	2	0	6	1	2	0	0	4	0	1	2	8	13	9	7	11	4	5	3	0	11	12	2	11	11	9	5	1	13	17	1	4	3	16	5	6	1	0	1	3	0	4	0	0	6	0	33	1	6	0	0	2	4	19	21	6	3	0	5	3	1	1	3	6	4	6	3	2	4	2	5	10	10	1	5	4	2	0	2	15	1	14	5	21	0	0	3	1	0	2	3	4	0	0	2	4	4	3	9	4	0	0	3	0	1	0	2	1	1	2	6	21	0	2	5	6	28	1	1	1	0	2	1	6	0	11	12	4	2	1	3	19	11	0	9	11	6	17	2	4	2	17	2	15	10	14	2	6	3	4	2	3	0	13	2	1	11	4	23	2	2	3	4	7	1	2	6	1	2	1	2	2	199	2	3	5	0	6	6	3	18	8	1	3	2	5	3	0	4	8	2	2	2	2	6	4	12	9	11	4	6	3	0	12	1	5	0	4	12	13	2	1	0	2	4	0	2	1	3	9	4	4	0	22	3	0	2	2	1	1	15	1	13	1	3	4	11	3	11	2	6	3	3	6	7	0	1	2	3	24	12	6	0	0	4	3	4	1	4	2	0	5	0	0	2	3	1	3	1	6	0	2	1	11	0	0	0	1	0	13	38	3	2	5	0	4	16	0	2	8	3	1	2	5	0	3	2	96	4	1	23	16	3	1	9	1	1	14	1	0	6	6	0	2	10	5	8	4	8	22
Neil Gaiman's Journal	7	1	5	37	1	1	0	6	1	16	0	7	12	6	8	0	1	0	2	0	7	1	15	23	8	49	42	2	10	11	2	1	1	4	5	1	23	0	34	1	2	21	4	10	0	22	11	5	3	5	1	1	0	12	2	2	11	2	2	27	23	15	0	2	1	8	7	16	3	0	0	0	12	0	20	7	8	18	2	6	2	9	2	3	3	1	1	0	5	5	6	23	1	3	0	2	11	1	23	10	19	3	8	6	1	2	7	3	0	9	23	6	2	22	28	2	1	6	5	2	3	2	2	7	2	5	0	11	1	4	27	43	21	17	1	0	2	0	0	12	15	7	5	3	31	10	6	1	0	1	2	6	0	1	5	22	9	12	2	1	30	43	0	1	10	1	40	11	28	1	1	3	9	1	11	0	0	0	6	7	8	2	0	0	5	2	5	1	4	0	16	0	5	11	4	0	0	2	1	4	12	3	3	22	7	2	5	1	3	14	4	6	2	27	6	0	13	1	5	5	17	7	4	10	3	7	8	28	3	4	0	2	5	7	5	7	5	2	8	10	2	4	3	0	1	3	13	2	23	3	0	0	10	5	4	0	4	0	8	1	13	1	3	0	11	0	0	0	9	0	0	7	3	4	0	50	2	1	1	0	1	30	9	12	0	1	9	7	5	0	18	1	6	21	4	1	8	0	2	4	3	12	61	2	5	15	1	1	8	2	24	6	0	5	1	1	1	4	0	2	0	3	64	20	2	7	9	11	3	5	307	0	2	3	20	7	9	4	22	4	0	6	0	33	4	2	15	0	1	2	5	1	8	8	9	3	18	1	0	1	5	1	0	7	0	8	23	4	5	0	0	10	9	24	9	2	8	6	12	2	6	1	4	0	1	9	3	1	1	1	1	0	3	6	2	6	1	6	17	2	2	0	1	3	3	1	22	20	13	5	4	10	2	2	8	1	0	3	3	4	2	2	1	3	38	1	4	6	2	24	8	23	4	7	23	2	0	19	9	11	3	5	5	1	1	1	2	5	6	0	11	0	1	1	0	1	10	3	0	1	2	4	4	6	2	12	4	11	6	7	7	5	4	6	10	7	7	5	13	3	0	2	0	4	0	1	1	1	4	3	2	6	4	0	7	8	0	1	10	5	31	18	11	12	0	2	10	0	1	11	6	3	4	14	1	1	13	2	3	8	5	4	0	0	8	11	1	31	48	4	9	1	12	2	21	4	64	11	34	0	8	8	9	0	14	1	17
Signal v. Noise - Medium	3	8	1	18	1	0	2	3	6	15	24	1	25	1	5	2	0	0	1	0	10	1	2	7	11	13	21	1	9	2	0	0	0	6	3	1	9	1	30	1	17	2	7	1	1	12	5	0	2	1	7	0	1	0	0	3	11	5	2	12	28	14	2	7	2	9	4	4	0	0	1	1	14	5	3	1	0	0	2	8	1	5	4	0	0	22	0	1	0	4	7	17	1	1	1	2	8	3	7	4	16	5	7	3	1	1	4	4	0	1	31	0	0	20	10	3	1	1	2	0	0	2	14	12	12	4	1	4	3	0	9	2	16	9	7	4	1	1	6	6	5	2	1	14	21	7	1	0	1	3	2	4	2	4	2	31	8	6	1	7	16	18	1	4	5	0	37	3	7	3	1	1	1	1	0	0	0	16	4	5	14	1	2	1	2	4	3	5	2	1	8	5	5	6	1	1	4	2	1	2	15	5	0	10	1	2	3	6	2	10	2	4	4	8	2	15	4	2	2	4	1	5	6	5	4	2	3	0	4	0	3	0	2	5	1	0	8	0	12	4	0	1	3	2	1	7	1	16	9	3	2	1	8	1	0	3	0	1	7	0	15	1	7	3	22	1	1	0	10	3	0	0	1	3	0	27	1	0	0	2	1	16	4	5	0	7	8	3	3	0	8	2	12	4	0	5	7	1	1	2	4	23	14	0	3	5	0	0	4	1	16	0	2	1	2	0	0	4	0	0	3	4	20	9	6	7	4	0	2	4	0	1	1	0	12	7	6	3	16	1	1	6	3	24	1	1	0	0	0	0	13	2	8	2	10	0	1	0	2	3	2	4	0	0	0	13	4	2	6	0	0	3	14	15	8	1	3	9	7	5	0	1	3	2	4	9	2	0	7	5	0	3	0	0	2	0	4	2	4	2	6	5	6	3	6	0	22	13	18	0	4	2	2	0	1	0	3	3	1	0	2	1	0	9	16	2	0	10	5	7	7	17	1	4	2	1	0	6	9	1	5	0	0	0	0	2	0	1	6	0	7	4	0	0	1	1	1	7	0	6	1	1	3	4	0	9	4	5	2	2	0	6	2	8	9	4	12	2	8	2	0	0	9	0	0	5	6	1	5	3	2	1	6	0	2	16	0	0	3	2	7	4	2	0	2	3	3	15	5	7	1	1	7	11	0	2	9	0	3	3	0	0	23	0	35	0	10	5	15	3	3	4	1	24	0	3	1	18	6	2	2	1	3	0	6	1	11
456 Berea Street	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5	1	1	0	0	1	0	0	0	0	0	0	1	0	2	1	1	4	0	0	1	2	0	0	0	0	0	6	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	1	1	3	0	1	0	0	1	0	0	3	4	0	0	0	0	1	0	3	1	1	3	1	0	0	2	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	4	0	0	0	3	1	0	1	0	3	1	0	1	2	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	6	0	0	1	0	0	1	0	0	1	0	0	0	10	0	0	1	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	1	1	0	0	6	2	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	1	0	0	2	0	0	0	0	1	3	0	1	0	1	4	0	1	0	0	0	0	1	0	5	0	0	0	0	0	0	4	0	0	0	1	2	0	0	2	5	0	0	0	0	0	0	0	0	3	1	1	3	0	0	0	1	2	0	1	0	0	1	0	1	0	5	0	1	0	0	3	0	0	1	1	0	0	0	0	1	0	1	2	0	0	1	1	0	0	0	0	0	3	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	1	2	0	0	0	0	0	2	0	0	0	1	0	1	2	0	0	0	0	1	2	2	0	0	0	0	0	0	2	12	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	4	1	2	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0
Sifry's Alerts - David Sifry	5	7	5	7	0	3	1	1	4	20	3	0	34	0	0	2	2	1	0	1	2	2	3	11	0	10	9	2	6	8	0	3	1	2	2	1	1	0	11	2	6	4	4	1	4	2	0	2	4	3	3	7	2	2	1	4	8	1	1	12	10	8	0	3	1	0	5	8	0	1	1	1	2	6	2	0	1	1	4	3	0	3	5	1	2	1	0	0	2	1	9	16	0	3	0	2	16	3	3	6	3	7	5	1	0	0	1	2	0	1	4	0	3	14	1	0	0	2	0	1	1	2	2	3	13	4	1	11	0	2	1	2	4	7	2	0	1	0	3	4	2	8	2	3	25	11	5	0	6	5	0	3	1	1	1	7	0	4	0	0	6	4	3	0	2	2	23	2	1	2	0	0	1	5	0	0	0	1	4	2	4	0	1	4	6	0	1	7	1	0	0	6	1	14	2	0	0	0	0	3	12	1	0	8	1	0	2	0	1	3	2	2	2	5	0	2	9	3	2	3	10	0	1	7	2	1	0	0	2	3	3	2	3	2	5	1	0	0	4	12	0	3	6	1	4	1	0	0	7	0	0	17	2	1	0	6	2	0	5	2	6	1	4	4	2	9	0	0	16	0	0	0	1	2	0	2	1	0	1	3	0	13	2	0	0	3	2	5	0	1	5	4	2	1	0	1	2	0	2	1	0	7	11	3	0	0	0	0	3	0	15	0	0	2	3	0	4	3	3	1	0	0	8	2	2	8	0	0	2	0	2	4	10	0	1	6	0	3	5	4	2	3	0	22	1	4	1	0	0	0	13	0	2	1	3	0	8	2	0	0	0	0	4	3	3	0	5	2	1	1	2	2	6	5	1	1	4	0	6	1	8	1	1	4	5	8	1	4	0	3	6	1	1	6	1	1	2	4	6	1	3	5	2	0	0	8	8	17	8	1	2	1	0	1	2	2	1	0	4	4	3	0	1	1	2	1	0	1	6	2	3	6	2	1	3	2	10	4	1	1	2	1	0	0	12	4	1	0	2	0	3	2	0	0	5	0	0	6	0	22	0	2	5	7	1	2	1	6	1	0	0	6	0	1	0	3	3	0	25	1	0	0	2	0	0	3	1	6	0	2	0	0	1	0	2	1	0	0	3	2	2	2	0	1	0	0	3	0	0	5	2	0	5	3	0	1	2	4	1	0	2	4	8	1	11	1	2	11	14	8	0	0	0	1	6	1	7	7	0	0	4	3	4	0	0	0	8
Joel on Software	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	1	0	0	0	3	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	1	0	3	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0
Wired	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	3	0	0	1	1	0	1	2	0	1	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	3	2	0	0	0	1	1	0	1	0	0	1	1	3	0	2	1	1	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	6	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	2	0	2	0	0	3	0	0	0	0	0	0	0	4	0	0	2	0	0	1	0	0	0	1	2	1	0	2	0	1	0	1	2	1	0	1	0	0	0	5	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	3	0	0	0	1	0	0	1	1	0	1	0	0	2	1	0	1	0	3	0	1	0	0	0	2	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	2	0	0	0	1	1	3	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	4	0	0	0	1	1	0	0	0	0	0	0	0	0	3	1	2	0	2	0	1	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	2	5	0	1	1	0	0	0	0	0	0	0	0	2	1	2	0	0	1
Cool Hunting	3	0	1	2	0	0	1	0	0	0	0	4	3	2	1	0	0	1	0	2	3	1	1	2	3	0	3	0	2	2	0	51	7	0	0	0	0	2	1	0	1	2	2	0	0	4	0	0	0	2	0	2	2	1	0	1	0	0	0	0	0	4	0	1	2	0	2	6	3	2	3	1	3	0	0	1	1	0	0	1	0	0	2	0	2	2	0	0	3	2	2	0	0	1	0	3	5	1	0	6	2	0	1	0	0	0	0	1	0	2	0	10	1	1	0	0	0	0	2	1	0	0	0	4	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	1	0	0	0	1	1	3	0	0	1	1	0	2	1	2	1	2	0	1	1	6	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	2	0	0	4	3	1	0	0	0	4	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	13	1	2	1	0	0	0	0	1	0	0	1	0	2	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	2	1	0	1	0	0	0	0	0	0	2	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	3	1	0	0	0	51	0	0	1	3	0	1	0	2	0	0	2	0	0	0	0	1	0	0	0	5	0	0	0	0	0	2	0	0	3	0	0	0	0	2	0	0	0	0	4	0	0	0	0	3	1	1	0	1	0	0	1	0	0	2	2	1	0	0	1	0	0	4	0	1	0	1	1	1	1	0	0	4	9	2	0	1	1	1	0	2	0	0	0	4	0	2	0	0	1	2	0	0	0	0	4	0	0	0	0	0	1	3	0	3	2	0	0	0	0	1	1	0	0	0	2	0	2	4	2	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	0	1	0	1	2	0	9	0	0	2	0	0	1	0	0	2	2	0	5	1	0	3	0	1	1	1	0	1	1	2	0	0	0	1	1	0	0	0	0	0	1	0	9	2	0	3	1	1	0	0	1	0	3	1	2	0	0	2	0	0	0	0	13	0	1
Boing Boing	1	0	0	1	0	0	2	2	0	0	0	0	3	3	3	1	3	0	0	2	1	1	0	2	5	1	1	0	2	11	0	3	3	1	1	0	3	0	4	2	0	3	2	1	2	8	5	0	1	0	0	1	1	3	2	1	0	3	0	2	6	2	2	1	0	1	0	5	7	2	0	4	4	2	0	3	2	0	1	0	0	0	1	1	3	2	4	0	2	0	1	1	1	2	0	1	5	0	1	2	2	0	1	1	0	0	0	1	1	0	3	0	2	6	2	0	0	1	1	2	1	0	1	7	0	0	1	1	0	1	0	1	6	3	1	4	0	2	1	2	0	0	0	0	2	2	3	1	0	2	0	6	2	0	0	1	1	2	1	1	2	0	0	0	1	1	3	2	10	0	0	2	1	2	0	1	0	1	1	0	4	2	5	0	4	1	0	0	1	0	0	3	1	2	3	1	0	2	6	1	6	0	0	6	2	0	1	0	0	4	2	0	0	1	2	2	1	1	0	0	2	2	0	2	1	1	1	4	1	0	0	1	1	1	0	1	0	0	2	4	0	0	3	0	0	1	1	6	0	1	1	0	1	0	0	0	2	0	2	0	2	0	1	1	3	3	2	0	2	1	2	1	5	0	0	11	2	2	0	0	2	5	0	1	2	0	0	3	3	3	1	1	1	1	1	0	0	0	1	1	1	5	3	0	3	3	1	0	0	2	5	1	1	1	1	0	1	3	0	3	0	0	1	4	2	0	1	1	0	0	0	4	0	2	0	1	3	0	9	0	2	5	2	2	0	2	0	2	5	0	3	0	0	0	3	6	0	1	0	2	1	1	0	3	0	1	3	0	0	1	3	1	2	3	3	1	2	0	0	1	9	0	0	0	0	7	0	0	2	1	1	0	2	3	0	0	0	2	3	3	1	0	2	2	1	1	0	2	0	0	2	2	0	0	0	1	0	1	1	0	1	0	0	2	5	0	1	0	2	0	0	1	1	3	0	1	0	4	1	0	2	8	1	2	0	1	1	1	1	4	7	0	1	0	1	2	0	1	7	0	0	0	0	1	0	5	0	0	1	0	0	3	2	1	0	0	1	0	0	0	2	1	0	1	0	0	2	0	0	1	0	2	0	7	3	3	0	2	3	0	12	9	0	1	1	0	0	0	1	4	1	0	0	0	0	0	1	2	0	0	1	0	0	0	4	1	0	8	7	2	1	0	3	0	4	1	0	1	9	1	0	3	1	0	0	1	9
The Full Feed from HuffingtonPost.com	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	4	4	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	1	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	7	2	0	0	0	1	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1
Pharyngula	0	0	0	2	0	0	0	0	0	3	0	0	5	1	0	0	0	0	1	0	0	0	0	2	0	1	1	1	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	3	0	2	2	2	1	0	0	0	4	0	2	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	1	0	1	1	2	0	1	3	1	0	2	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	2	0	0	3	0	1	0	1	2	0	2	0	1	1	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	5	0	0	2	0	3	3	1	0	0	0	0	2	0	0	2	1	0	2	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	4	1	1	1	3	0	0	0	0	1	0	1	1	0	0	1	2	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	1	1	0	2	0	0	0	0	0	2	3	0	1	0	0	1	2	2	1	0	1	1	1	0	3	0	0	0	1	0	0	2	0	0	0	0	3	3	0	3	1	2	0	0	0	2	1	0	2	0	1	1	2	0	0	0	1	2	0	0	2	0	0	1	0	0	0	0	0	4	4	1	0	2	0	1	2	1	4	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	6	0	1	1	0	0	0	3	3	0	0	0	3	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	1	0	0	1	0	2	1	1	0	0	0	0	2	0	1	1	5	0	0	1	1	0	0	1	3	0	0	0	0	0	2	0	4	1	0	0	2	0	1	0	2	0	2	1	0	1	1	0	0	0	1	0	0	0	0	1	2	0	3	0	0	1	0	0	3	0	4	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	7	0	0	0	0	0	0	4	1	0	2	5	2	1	0	0	0	2	0	5	2	2	0	1	1	0	0	2	0	1
